name,address,average_rating,number_of_reviews,place_in_rating,award_text,years_text,distance_from,photo1,photo2,photo3,photo4,curl,f1,f2,f3,start,end,coords
Рок Паб,"Россия, Санкт-Петербург, проспект Пятилеток, 8к1","4,0 ",9 отзывов,№ 284 из 410 – Американская – Санкт-Петербург,,,,,,,,https://www.tripadvisor.ru/Restaurant_Review-g298507-d8707932-Reviews-Rock_Pub-St_Petersburg_Northwestern_District.html,ДИАПАЗОН ЦЕН: 300 руб - 1 900 руб,"ТИП КУХНИ: Американская, Бар, Паб, Гастропаб",УСЛУГИ: Бронирование,,,"(30.459392, 59.921809)"
Ни В Одном Глазу,"Россия, Санкт-Петербург, переулок Ульяны Громовой, 4","5,0 ",1 отзыв,№ 150 из 174 – Средиземноморская – Санкт-Петербург,,,"0,4 км от: Невский проспект","data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==","data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==","data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==","data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",https://www.tripadvisor.ru/Restaurant_Review-g298507-d17534710-Reviews-Ni_v_Odnom_Glazu-St_Petersburg_Northwestern_District.html,"ТИП КУХНИ: Средиземноморская, Европейская, Гриль, Современная, Фьюжн, Скандинавская",ВРЕМЯ ПРИЕМА ПИЩИ: Ужин,,16:00,02:00,"(30.361224, 59.934393)"
Gypsies & Jews,"Россия, Санкт-Петербург, Центральный район, улица Ломоносова, 14","5,0 ",1 отзыв,№ 506 из 677 – Бар – Санкт-Петербург,,,,,,,,https://www.tripadvisor.ru/Restaurant_Review-g298507-d17168829-Reviews-Gypsies_Jews-St_Petersburg_Northwestern_District.html,"ТИП КУХНИ: Бар, Паб, Закусочная, Уличная еда",,,,,"(30.338479, 59.927874)"
Blackberry,"Россия, Санкт-Петербург, Гражданский проспект, 41к2","4,0 ",5 отзывов,№ 4 140 из 6 851 – Рестораны – Санкт-Петербург,,,,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",,,,https://www.tripadvisor.ru/Restaurant_Review-g298507-d6117806-Reviews-Blackberry-St_Petersburg_Northwestern_District.html,"ТИП КУХНИ: Бар, Паб",,,,,"(30.398567, 60.012246)"
Bazin,"Россия, Санкт-Петербург, Центральный район, улица Некрасова, 22","5,0 ",1 отзыв,№ 509 из 677 – Бар – Санкт-Петербург,,,,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",,,,https://www.tripadvisor.ru/Restaurant_Review-g298507-d15117326-Reviews-Bazin-St_Petersburg_Northwestern_District.html,"ТИП КУХНИ: Бар, Паб",,,,,"(30.356202, 59.938991)"
Формула Кино,"Россия, Санкт-Петербург, Приморский проспект, 72","4,5 ",2 отзыва,№ 521 из 677 – Бар – Санкт-Петербург,,,,,,,,https://www.tripadvisor.ru/Restaurant_Review-g298507-d8346500-Reviews-Formula_Kino-St_Petersburg_Northwestern_District.html,"ТИП КУХНИ: Бар, Паб","ВРЕМЯ ПРИЕМА ПИЩИ: Обед, Ужин",,10:00,01:00,"(30.209894, 59.981708)"
BLOODY MARY Bar & Grill,"Россия, Санкт-Петербург, Мучной переулок, 9/27","5,0 ",179 отзывов,№ 2 из 410 – Американская – Санкт-Петербург,,,,,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==","data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==","data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",https://www.tripadvisor.ru/Restaurant_Review-g298507-d10437838-Reviews-BLOODY_MARY_Bar_Grill-St_Petersburg_Northwestern_District.html,ДИАПАЗОН ЦЕН: 400 руб - 800 руб,"ТИП КУХНИ: Американская, Стейк-хаус, Бар, Барбекю, Гриль","СПЕЦИАЛИЗИРОВАННОЕ МЕНЮ: Подходит для вегетарианцев, Для веганов",14:00,02:00,"(30.323459, 59.929524)"
Dahongpao,"Россия, Санкт-Петербург, улица Маяковского, 40","5,0 ",1 отзыв,№ 108 из 188 – Китайская – Санкт-Петербург,,,"0,1 км от: Невский проспект","data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",,,,https://www.tripadvisor.ru/Restaurant_Review-g298507-d15221890-Reviews-Dahongpao-St_Petersburg_Northwestern_District.html,ДИАПАЗОН ЦЕН: 500 руб - 1 500 руб,"ТИП КУХНИ: Китайская, Европейская",,,,"(30.354963, 59.940898)"
Бар СПБ,"Россия, Санкт-Петербург, Караванная улица, 24-26","3,5 ",7 отзывов,№ 520 из 677 – Бар – Санкт-Петербург,,,"0,5 км от: Аничков мост","data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==","data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==","data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==","data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",https://www.tripadvisor.ru/Restaurant_Review-g298507-d12250624-Reviews-Bar_SPB-St_Petersburg_Northwestern_District.html,ДИАПАЗОН ЦЕН: 350 руб - 1 700 руб,"ТИП КУХНИ: Бар, Пицца, Европейская, Паб",,,,"(30.341416, 59.934308)"
Ресто-паб ГУСТАВ,"Россия, Санкт-Петербург, улица Чапаева, 18","5,0 ",1 отзыв,№ 4 493 из 6 851 – Рестораны – Санкт-Петербург,,,"0,6 км от: Крейсер Аврора",,,,,https://www.tripadvisor.ru/Restaurant_Review-g298507-d15768976-Reviews-Resto_Pub_Gustav-St_Petersburg_Northwestern_District.html,,,,,,"(30.32972, 59.96326)"
